# probe report -- machine-debian-trixie-16341
# taken     : 2026-09-03T23:46:30+02:00
# image     : /home/jean/.shared/DEVEL/repos/MARIONNET-dune-project/website-repo/download/marionnet-install.sh/1.0.x/machine-debian-trixie-16341
# sum       : 16341
# candidates: 2060 (BINARY_LIST of the .conf)
# probes    : help-timeout=5s x-timeout=6s x-only=0
# X server  : DISPLAY=:0 vendor string: The X.Org Foundation X.Org version: 21.1.11 
#
# name	verdict	rc	probe	first line of stderr
dbus-daemon	OK	1	help	dbus-daemon [--version] [--session] [--system] [--config-file=FILE] [--print-address[=DESCRIPTOR]] [--print-pid[=DESCRIPTOR]] [--introspect] [--address=ADDRESS] [--nopidfile] [--nosyslog] [--syslog] [
dbus-monitor	OK	0	help	Usage: /usr/bin/dbus-monitor [--system | --session | --address ADDRESS] [--monitor | --profile | --pcap | --binary ] [watch expressions]
dbus-run-session	OK	0	help	dbus-run-session [OPTIONS] [--] PROGRAM [ARGUMENTS]
dbus-send	OK	1	help	Usage: /usr/bin/dbus-send [--help] [--system | --session | --bus=ADDRESS | --peer=ADDRESS] [--sender=NAME] [--dest=NAME] [--type=TYPE] [--print-reply[=literal]] [--reply-timeout=MSEC] <destination obj
dbus-update-activation-environment	ERR	64	help	dbus-update-activation-environment: update environment variables that will be set for D-Bus
dbus-uuidgen	OK	0	help	Usage: /usr/bin/dbus-uuidgen [--ensure[=FILENAME]] [--get[=FILENAME]]
dbwrap_tool	OK	0	help	
dcb	OK	0	help	Usage: dcb [ OPTIONS ] OBJECT { COMMAND | help }
dcrack	OK	1	help	
dd	OK	0	help	
ddns-confgen	OK	1	help	ddns-confgen: invalid argument --
deallocvt	OK	0	help	Usage: deallocvt [option...] [N ...]
debconf	OK	1	help	Usage: debconf [options] command [args]
debconf-apt-progress	ERR	255	help	Unknown option: help
debconf-communicate	OK	1	help	Usage: debconf-communicate [options] [package]
debconf-copydb	OK	1	help	Unknown option: help
debconf-escape	OK	1	help	Unknown option: help
debconf-set-selections	OK	1	help	Unknown option: help
debconf-show	OK	1	help	Unknown option: help
deb-systemd-helper	OK	0	help	Unknown option: help
deb-systemd-invoke	OK	1	help	Syntax: /usr/bin/deb-systemd-invoke <action> [<unit file> [<unit file> ...]]
debugfs	OK	1	help	debugfs 1.47.2 (1-Jan-2025)
decodemail	OK	0	help	
delgroup	OK	0	help	
deluser	OK	0	help	
delv	OK	1	help	Invalid option: --help
depmod	OK	0	help	
designer	OK	1	help	designer: could not exec '/usr/lib/qt5/bin/designer': No such file or directory
devlink	OK	1	help	/usr/sbin/devlink: unrecognized option '--help'
df	OK	0	help	
dh_autotools-dev_restoreconfig	ERR	2	help	Can't locate Debian/Debhelper/Dh_Lib.pm in @INC (you may need to install the Debian::Debhelper::Dh_Lib module) (@INC entries checked: /etc/perl /usr/local/lib/x86_64-linux-gnu/perl/5.40.1 /usr/local/s
dh_autotools-dev_updateconfig	ERR	2	help	Can't locate Debian/Debhelper/Dh_Lib.pm in @INC (you may need to install the Debian::Debhelper::Dh_Lib module) (@INC entries checked: /etc/perl /usr/local/lib/x86_64-linux-gnu/perl/5.40.1 /usr/local/s
dh_bash-completion	ERR	2	help	Can't locate Debian/Debhelper/Dh_Lib.pm in @INC (you may need to install the Debian::Debhelper::Dh_Lib module) (@INC entries checked: /etc/perl /usr/local/lib/x86_64-linux-gnu/perl/5.40.1 /usr/local/s
dhclient	OK	0	help	Usage: dhclient [-4|-6] [-SNTPRI1dvrxi] [-nw] [-p <port>] [-D LL|LLT]
dhclient-script	OK	0	help	
dhcpcd	OK	0	help	
dhcpd	OK	0	help	Usage: dhcpd [-p <UDP port #>] [-f] [-d] [-q] [-t|-T]
dhcp-lease-list	OK	0	help	
dh_installxmlcatalogs	ERR	2	help	Can't locate Debian/Debhelper/Dh_Lib.pm in @INC (you may need to install the Debian::Debhelper::Dh_Lib module) (@INC entries checked: /etc/perl /usr/local/lib/x86_64-linux-gnu/perl/5.40.1 /usr/local/s
dh_numpy3	ERR	2	help	Can't locate Debian/Debhelper/Dh_Lib.pm in @INC (you may need to install the Debian::Debhelper::Dh_Lib module) (@INC entries checked: /etc/perl /usr/local/lib/x86_64-linux-gnu/perl/5.40.1 /usr/local/s
diagtool-19	OK	1	help	usage: diagtool <command> [<args>]
diff	OK	0	help	
diff3	OK	0	help	
dig	OK	1	help	Invalid option: --help
dir	OK	0	help	
dircolors	OK	0	help	
dirmngr	OK	0	help	
dirmngr-client	OK	0	help	
dirname	OK	0	help	
dmesg	OK	0	help	
dmidecode	OK	0	help	
dmsetup	OK	0	help	Usage:
dmstats	OK	0	help	Usage:
dnie-tool	ERR	2	help	/usr/bin/dnie-tool: unrecognized option '--help'
dnsdomainname	OK	0	version	
dnsmasq	OK	0	help	
dnssec-cds	OK	1	help	Usage:
dnssec-dsfromkey	OK	1	help	dnssec-dsfromkey: invalid argument --
dnssec-importkey	OK	1	help	dnssec-importkey: invalid argument --
dnssec-keyfromlabel	OK	1	help	dnssec-keyfromlabel: invalid argument --
dnssec-keygen	OK	1	help	dnssec-keygen: invalid argument --
dnssec-ksr	OK	1	help	Usage:
dnssec-revoke	OK	1	help	dnssec-revoke: invalid argument --
dnssec-settime	OK	1	help	dnssec-settime: invalid argument --
dnssec-signzone	OK	1	help	/usr/bin/dnssec-signzone: illegal option -- -
dnssec-verify	OK	1	help	/usr/bin/dnssec-verify: illegal option -- -
dnstap-read	OK	1	help	/usr/bin/dnstap-read: illegal option -- -
docfdisk	OK	1	help	Open flash device: No such file or directory
doc_loadbios	OK	1	help	You must specify a device, the source firmware file and the offset
domainname	OK	0	version	
dos2unix	OK	0	help	
dosfsck	OK	0	help	Usage: /usr/sbin/dosfsck [OPTIONS] DEVICE
dosfslabel	OK	0	help	
dotlock	OK	0	help	
dotlock.mailutils	OK	0	help	
doveadm	OK	0	help	
doveconf	ERR	89	help	/usr/bin/doveconf: invalid option -- '-'
dovecot	OK	0	help	Usage: dovecot [-F] [-c <config file>] [-p] [-n] [-a] [--help] [--version]
dovecot-sysreport	OK	0	help	
dpkg	OK	0	help	
dpkg-architecture	OK	0	help	
dpkg-buildapi	OK	0	help	
dpkg-buildflags	OK	0	help	
